Brand,Name,Description,Picture,Price,NbLines,Dimensions,availablestock,onreorder
Trodat,Printy 4929,Trodat Printy 4929 50 x 30 mm - 6 lines,https://media.stamps4u.co.uk/media/image/7c/fb/0b/trodat_printy_4929_1_1000X10005590f2deae190_720x600_600x600@2x.jpg,190,6,"['50', '30']",0,False
Trodat,Printy 4911,Trodat Printy 4911 small address stamp (38 x 14 mm - 3 lines),https://media.stamps4u.co.uk/media/image/9a/be/36/Trodat_Printy_4911_1_1000X1000_600x600@2x.jpg,120,3,"['38', '14']",0,False
Trodat,Professional 5206,Trodat Professional 5206 56 x 33 mm - 8 lines,https://media.stamps4u.co.uk/media/image/e4/d5/5b/Trodat_Professional_5206_neu_1_1000X1000_600x600@2x.jpg,320,8,"['56', '33']",0,False
Trodat,Professional Dater 5474,Trodat Professional Dater 5474 59 x 38 mm - 3+3 lines,https://media.stamps4u.co.uk/media/image/11/fa/82/PR_5474_4p0_600x600@2x.jpg,390,6,"['59', '38']",0,False
Colop,Printer 10,Colop Printer 10 27 x 10 mm - 2 lines,https://media.stamps4u.co.uk/media/image/03/92/b7/PR10_b-black_1000X1000_600x600@2x.jpg,110,2,"['27', '10']",0,False
Colop,Printer 20,Colop Printer 20 38 x 14 mm - 3 lines,https://media.stamps4u.co.uk/media/image/ea/dc/8b/PR20_b-black_1000X1000_600x600@2x.jpg,130,3,"['38', '14']",0,False
Trodat,Professional 5200,Trodat Professional 5200 41 x 24 mm - 5 lines,https://media.stamps4u.co.uk/media/image/1a/ae/f8/trodat_Professional_neu_5200_1_1000X1000_600x600@2x.jpg,230,5,"['41', '24']",0,False
Trodat,Professional Dater 5430,Trodat Professional Dater 5430 41 x 24 mm - 1+1 lines,https://media.stamps4u.co.uk/media/image/87/a5/b6/trodat_Professional_neu_5430_1_1000X1000_600x600@2x.jpg,310,2,"['41', '24']",0,False
Trodat,Eclipse (R19),Trodat Eclipse (R19) - 85 x 55 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,300,1,"['85', '55']",0,False
Trodat,Printy 46025,Trodat Printy 46025 25 mm diam. - 5 lines,https://media.stamps4u.co.uk/media/image/93/b1/a6/trodat_46025_1_red_1000X1000_600x600@2x.jpg,100,5,,0,False
Trodat,Printy 4941,Trodat Printy 4941 41 x 24 mm - 6 lines,https://media.stamps4u.co.uk/media/image/df/d7/79/4941-web_600x600@2x.jpg,170,6,"['41', '24']",0,False
Trodat,Printy 4927,Trodat Printy 4927 60 x 40 mm - 9 lines,https://media.stamps4u.co.uk/media/image/71/c6/aa/trodat_4927_1_red_1000X1000_600x600@2x.jpg,230,9,"['60', '40']",0,False
Colop,Printer Dater Q30,Colop Printer Dater Q30 31 x 31 mm - 3+3 lines,https://media.stamps4u.co.uk/media/image/97/69/96/PR_Q30_DATER__122038_600x600@2x.jpg,200,6,,0,False
Colop,Printer 30,Colop Printer 30 47 x 18 mm - 4 lines,https://media.stamps4u.co.uk/media/image/37/d4/c8/PR30_b-black_1000X1000_600x600@2x.jpg,150,4,"['47', '18']",0,False
Colop,Printer 53 Dater,Colop Printer 53 Dater 45 x 30 mm - 2+2 lines,https://media.stamps4u.co.uk/media/image/64/f5/d7/colop_s260_dater_1_1000X1000_600x600@2x.jpg,230,4,"['45', '30']",0,False
Colop,Printer 40,Colop Printer 40 59 x 23 mm - 5 lines,https://media.stamps4u.co.uk/media/image/5c/c0/02/PR40_b-black_1000X1000_600x600@2x.jpg,190,5,"['59', '23']",0,False
Trodat,Eclipse (R20),Trodat Eclipse (R20) - 105 x 55 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,310,1,"['105', '55']",0,False
Trodat,Printy 4630,Trodat Printy 4630 30 mm diam. - 6 lines,https://media.stamps4u.co.uk/media/image/b8/fc/2b/4630_1000x1000_600x600@2x.jpg,150,6,,0,False
Trodat,Printy 4638,Trodat Printy 4638 38 mm diam. - 7 lines,https://media.stamps4u.co.uk/media/image/f9/75/6f/PR_4638_P4_INN_black_ohne_600x600@2x.jpg,170,7,,0,False
Trodat,Eclipse (R21),Trodat Eclipse (R21) - 125 x 55 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,330,1,"['125', '55']",0,False
Trodat,Printy 4642,Trodat Printy 4642 42 mm diam. - 8 lines,https://media.stamps4u.co.uk/media/image/ce/e1/3f/Trodat_Printy_4642_1_1000X1000_600x600@2x.jpg,180,8,,0,False
Trodat,Eclipse (R11),Trodat Eclipse (R11) - 105 x 25 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,210,5,"['105', '25']",0,False
Trodat,Printy 4918,Trodat Printy 4918 75 x 15 mm - 2 lines,https://media.stamps4u.co.uk/media/image/79/32/c4/trodat_4918_1_red_1000X1000_600x600@2x.jpg,180,2,"['75', '15']",0,False
Trodat,Eclipse (R12),Trodat Eclipse (R12) - 125 x 25 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,230,5,"['125', '25']",0,False
Trodat,Printy 4916,Trodat Printy 4916 70 x 10 mm - 1 or 2 lines,https://media.stamps4u.co.uk/media/image/d3/03/8e/trodat_printy_4916_1_1000X1000_600x600@2x.jpg,140,2,"['70', '10']",0,False
Trodat,Professional 5208,Trodat Professional 5208 68 x 47 mm - 10 lines,https://media.stamps4u.co.uk/media/image/2c/cd/77/PR_5208_4p0_1000x1000k3FeB8sf0pxWl_600x600@2x.jpg,370,1,"['68', '47']",0,False
Colop,Printer Q30,Colop Printer Q30 31x 31 - 6 Lines,https://media.stamps4u.co.uk/media/image/c0/94/dc/printer_Q30_black_1_1000X1000_600x600@2x.jpg,170,6,,0,False
Colop,Printer 10 Microban 27,Colop Printer 10 Microban 27 x 10 mm - 2 lines,https://media.stamps4u.co.uk/media/image/ca/fc/b2/PR10_Microban_600x600@2x.jpg,120,2,"['27', '10']",0,False
Colop,Printer 20 Microban 38,Colop Printer 20 Microban 38 x 14 mm - 3 lines,https://media.stamps4u.co.uk/media/image/ed/1a/e9/PR20_Microban_600x600@2x.jpg,140,3,"['38', '14']",0,False
Colop,Printer 60-Dater,Colop Printer 60-Dater H 76 x 37 mm - 3+12 lines,https://media.stamps4u.co.uk/media/image/bf/e6/f4/Colop_printer_60_Hoch_1_1000X1000_600x600@2x.jpg,380,1,"['76', '37']",0,False
Colop,Printer 50,Colop Printer 50 69 x 30 mm - 7 lines,https://media.stamps4u.co.uk/media/image/55/ee/26/PR50_b-black_1000X1000_600x600@2x.jpg,250,7,"['69', '30']",0,False
Colop,Printer 60-Dater,Colop Printer 60-Dater Date Left 37 x 76 mm - 3+3 lines,https://media.stamps4u.co.uk/media/image/75/5d/08/Printer_60_doubledater_links_1_1000X1000_600x600@2x.jpg,380,6,"['37', '76']",0,False
Trodat,Eclipse (R6),Trodat Eclipse (R6) - 125 x 15 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,160,3,"['125', '15']",0,False
Trodat,Printy 4928,Trodat Printy 4928 60 x 33 mm - 7 lines,https://media.stamps4u.co.uk/media/image/8b/bd/74/trodat_printy_4928_3_1000X1000_600x600@2x.jpg,230,7,"['60', '33']",0,False
Trodat,Eclipse (R22),Trodat Eclipse (R22) - 150 x 55 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,350,1,"['150', '55']",0,False
Trodat,Eclipse (R23),Trodat Eclipse (R23) - 85 x 75 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,330,1,"['85', '75']",0,False
Trodat,Eclipse (R24),Trodat Eclipse (R24) - 105 x 75 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,340,1,"['105', '75']",0,False
Trodat,Eclipse (R25),Trodat Eclipse (R25) - 125 x 75 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,350,1,"['125', '75']",0,False
Trodat,Printy 4907,Trodat Printy 4907 13 x 6 mm - 1 line,https://media.stamps4u.co.uk/media/image/d6/00/94/trodat_printy_4907_1_600x600@2x.jpg,90,1,"['13', '6']",0,False
Trodat,Eclipse (R13),Trodat Eclipse (R13) - 150 x 25 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,230,5,"['150', '25']",0,False
Trodat,Printy 4908,Trodat Printy 4908 15 x 7 mm - 1 or 2 lines,https://media.stamps4u.co.uk/media/image/1a/12/45/trodat_printy_4908_1_1000X1000_600x600@2x.jpg,90,2,"['15', '7']",0,False
Trodat,Eclipse (R14),Trodat Eclipse (R14) - 55 x 35 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,240,8,"['55', '35']",0,False
Trodat,Printy 4921,Trodat Printy 4921 12 x 12 mm - 2 lines,https://media.stamps4u.co.uk/media/image/4f/c3/33/PI_SB_4921_2008_600x600@2x.jpg,120,2,,0,False
Colop,Printer 30 Microban 47,Colop Printer 30 Microban 47 x 18 mm - 4 lines,https://media.stamps4u.co.uk/media/image/84/df/5b/PR30_Microban_600x600@2x.jpg,160,4,"['47', '18']",0,False
Colop,Printer 40 Microban 59,Colop Printer 40 Microban 59 x 23 mm - 5 lines,https://media.stamps4u.co.uk/media/image/63/fa/74/PR40_Microban_600x600@2x.jpg,190,5,"['59', '23']",0,False
Trodat,Eclipse (R8),Trodat Eclipse (R8) - 25 x 25 mm,https://media.stamps4u.co.uk/media/image/84/ef/02/eclipse_600x600@2x.jpg,150,5,,0,False
Trodat,Printy 4926,Trodat Printy 4926 75 x 38 mm - 8 lines,https://media.stamps4u.co.uk/media/image/33/98/fc/trodat_printy_4926_1_1000X1000_600x600@2x.jpg,240,8,"['75', '38']",0,False
Trodat,Professional 5274,Trodat Professional 5274 57 x 37 mm - 9 lines,https://media.stamps4u.co.uk/media/image/a4/8f/1d/PR_5274_4p0_600x600@2x.jpg,450,9,"['57', '37']",0,False
Trodat,Professional Dater 5480,Trodat Professional Dater 5480 - 64 x 44 mm,https://media.stamps4u.co.uk/media/image/d4/e9/c6/5480_1000x1000_600x600@2x.jpg,450,8,"['64', '44']",0,False
Colop,Printer 60,Colop Printer 60 76 x 37 mm - 8 lines,https://media.stamps4u.co.uk/media/image/79/ac/7f/PR60_b-black_1000X1000_600x600@2x.jpg,270,8,"['76', '37']",0,False
Colop,Printer 60-Dater,Colop Printer 60-Dater Date Right 37 x 76 mm - 3+3 lines,https://media.stamps4u.co.uk/media/image/41/1a/77/Printer_60_Doubledater_rechts_1_1000X1000_600x600@2x.jpg,380,6,"['37', '76']",0,False
Colop,Printer 25,Colop Printer 25 73 x 13 mm - 4 lines,https://media.stamps4u.co.uk/media/image/87/74/c2/Colop_Printer_25_black_1_600x600@2x.jpg,180,4,"['73', '13']",0,False
Trodat,Mobile Printy 9430,Trodat Mobile Printy 9430 30 x 30 mm or 30 mm diam.,https://media.stamps4u.co.uk/media/image/2b/ce/c3/PR_9430_MP_apple_open_1000X1000_600x600@2x.jpg,90,4,,0,False
